595.0,593.81396,592.6206,591.41473,590.1911,588.94434,587.66907,586.3599,585.01184,583.62024,582.1816,580.69403,579.15826,577.5773,575.95557,574.2982,572.6101,570.89624,569.1619,567.4127,565.6542,563.8918,562.1302,560.3732,558.62366,556.88293,555.1514,553.42834,551.71204,550.0
595.0,593.81415,592.6208,591.4149,590.1913,588.9445,587.6694,586.36035,585.0123,583.6203,582.1804,580.6905,579.15125,577.5668,575.94293,574.2849,572.59735,570.88477,569.152,567.40436,565.64734,563.8862,562.1258,560.3698,558.6211,556.8811,555.15015,553.42755,551.7116,550.0
595.0,593.81415,592.62067,591.4146,590.1908,588.94403,587.66907,586.3605,585.0128,583.6206,582.17883,580.68396,579.1369,577.54456,575.9162,574.25745,572.5718,570.8623,569.13306,567.38885,565.63495,563.8766,562.11847,560.3644,558.6172,556.8784,555.14844,553.4266,551.7112,550.0
595.0,593.81384,592.6198,591.4131,590.1888,588.9419,587.66724,586.3597,585.01355,583.6226,582.1795,580.67737,579.1151,577.5073,575.8721,574.21405,572.533,570.8295,569.1064,567.3677,565.6186,563.8643,562.1096,560.3583,558.61316,556.876,555.1471,553.4259,551.71094,550.0
595.0,593.81287,592.6177,591.4097,590.1844,588.937,587.66284,586.35724,585.0149,583.62897,582.18884,580.6788,579.0864,577.44684,575.8036,574.1515,572.4808,570.7876,569.0735,567.3426,565.6,563.8511,562.1007,560.3528,558.61017,556.8747,555.14685,553.42615,551.71124,550.0
595.0,593.81104,592.6137,591.4037,590.1766,588.9281,587.6543,586.35144,585.016,583.6426,582.2189,580.7113,579.05255,577.33905,575.6976,574.06683,572.4163,570.73895,569.037,567.31573,565.58105,563.83856,562.09326,560.34924,558.6094,556.87555,555.1485,553.4278,551.7123,550.0
595.0,593.80804,592.6075,591.3942,590.1642,588.9136,587.6391,586.33875,585.01215,583.66125,582.28595,580.846,579.02045,577.10693,575.5351,573.9626,572.34564,570.6885,569.00037,567.28973,565.5637,563.82837,562.08875,560.3489,558.6119,556.8795,555.1527,553.43134,551.7143,550.0
595.0,593.8037,592.5986,591.3808,590.1464,588.8919,587.6146,586.3133,584.99097,583.6616,582.3755,581.3249,-1e+30,576.4733,575.32965,573.86566,572.284,570.64386,568.9677,567.26715,565.5499,563.8221,562.08844,560.353,558.6187,556.88745,555.1603,553.43726,551.71765,550.0
595.0,593.79785,592.58673,591.3629,590.1227,588.8625,587.5792,586.2707,584.93634,583.5775,582.1924,580.7345,578.8562,576.9681,575.4124,573.85376,572.25183,570.61163,568.94183,567.24963,565.541,563.8209,562.0936,560.3627,558.63086,556.9002,555.1719,553.4461,551.7225,550.0
595.0,593.79034,592.57166,591.3405,590.09314,588.82587,587.5349,586.2164,584.86584,583.47687,582.03503,580.5039,578.81525,577.0974,575.4655,573.85394,572.2306,570.5864,568.92114,567.23706,565.5375,563.82574,562.1052,560.3789,558.6494,556.91876,555.1882,553.4583,551.7291,550.0
595.0,593.7811,592.5534,591.3137,590.0584,588.7837,587.4852,586.1578,584.7948,583.38715,581.92194,580.38214,578.7596,577.1044,575.465,573.8357,572.20355,570.56036,568.9023,567.22833,565.5393,563.83716,562.12415,560.4027,558.67535,556.944,555.21,553.47455,551.7379,550.0
595.0,593.7701,592.53186,591.28253,590.0189,588.73737,587.4332,586.1006,584.7316,583.31616,581.84235,580.301,578.69653,577.05945,575.42145,573.79047,572.1616,570.52747,568.8821,567.22217,565.5465,563.8558,562.1513,560.4353,558.7098,556.97687,555.2383,553.49536,551.7491,550.0
595.0,593.757,592.50665,591.24677,589.97485,588.6877,587.381,586.04865,584.68195,583.2686,581.7939,580.2459,578.6294,576.9804,575.3383,573.71356,572.09906,570.4838,568.8587,567.21814,565.5595,563.8825,562.18805,560.4778,558.7539,557.01855,555.27374,553.5214,551.76306,550.0
595.0,593.7416,592.4772,591.20557,589.9253,588.63416,587.32886,586.004,584.65045,583.253,581.7881,580.2271,578.5607,576.86005,575.205,573.5964,572.0109,570.4273,568.83185,567.2171,565.5797,563.91907,562.23584,560.53186,558.8092,557.0703,555.31757,553.55347,551.7802,550.0
595.0,593.7233,592.4425,591.15753,589.86835,588.57446,587.2746,585.96564,584.6403,583.2823,581.85516,580.28796,578.4949,576.6585,574.99097,573.4252,571.8936,570.359,568.80414,567.2218,565.6096,563.9675,562.2968,560.59924,558.87726,557.1335,555.37085,553.5923,551.80096,550.0
595.0,593.7016,592.40125,591.1004,589.80066,588.5039,587.212,585.9263,584.64685,583.36676,582.0505,580.56116,578.4431,576.2461,574.63666,573.1867,571.7509,570.2863,568.7822,567.2375,565.65314,564.03107,562.3733,560.682,558.95984,557.2096,555.4347,553.63873,551.82574,550.0
595.0,593.67566,592.3518,591.03143,589.7177,588.4151,587.12964,585.8682,584.6441,583.48254,582.42303,581.4795,-1e+30,575.1802,574.0773,572.8996,571.6084,570.2278,568.7781,567.27167,565.7153,564.1131,562.4679,560.7822,559.0586,557.3001,555.5103,553.6936,551.85504,550.0
595.0,593.64496,592.293,590.94806,589.6146,588.29926,587.01324,585.76355,584.57196,583.4955,582.69464,-1e+30,-1e+30,-1e+30,573.5476,572.69525,571.5292,570.2137,568.80707,567.33264,565.80084,564.2167,562.5829,560.9017,559.1752,557.40625,555.5988,553.75775,551.88916,550.0
595.0,593.6093,592.2243,590.84924,589.4881,588.1476,586.8536,585.5929,584.376,583.223,582.1554,581.1189,-1e+30,574.80225,573.8589,572.78754,571.57904,570.2683,568.8796,567.42566,565.9128,564.3437,562.71967,561.04144,559.3105,557.5291,555.70105,553.83185,551.9286,550.0
